UID,Type,Name,Programs,AKAs,Addresses,DOB
"23544","Individual","Bogdan Valeryevich KOLOSOV","UKRAINE-EO13661","Bogdan KOLOSOV","Izhevsk, Russia","06 May 1985"
"23545","Individual","Andrey Vladimirovich CHEREZOV","UKRAINE-EO13661","Andrey CHEREZOV | Andrei CHEREZOV","Russia","12 Oct 1967"
"23546","Individual","Evgeniy Petrovich GRABCHAK","UKRAINE-EO13661","Evgeniy GRABCHAK | Evgeny GRABCHAK","Russia","18 Jul 1981"
"23547","Individual","Khalid BATARFI","SDGT","Khaled BATARFI | Khaled Saeed BATARFI | MIQDAD, Abu | AL-KINDI, Abu al-Miqdad | Khalid Saeed BATARFI | BATARFI, Khalid bin Umar","Yemen","1979 | 1978 | 1980"
"23548","Individual","Svetlana Anatolievna MALAKHOVA","UKRAINE-EO13660","Svitlana Anatoliivna MALAKHOVA | Svetlana Anatolyevna MALAKHOVA","Luhansk, Ukraine","27 Aug 1964"
"23550","Individual","Pavel Vladimirovich MALGIN","UKRAINE-EO13660","Pavlo Volodymirovich MALGIN | Pavlo MALHIN","Molodogvardeysk, Ukraine | Sorokino Krasnodon, Ukraine","30 Mar 1968"
"23551","Individual","Elena Nikolaevna KOSTENKO","UKRAINE-EO13660","Olena Mykolaivna KOSTENKO","Ukraine","13 Nov 1968"
"23552","Entity","LENGIPRONEFTEKHIM OOO","UKRAINE-EO13662 | RUSSIA-EO14024","LLC LENGIPRONEFTEKHIM | LIMITED LIABILITY COMPANY OIL REFINING AND PETROCHEMICAL FACILITIES DESIGN INSTITUTE | INSTITUT PO PROEKTIROVANIYU PREDPRIYATY NEFTEPERERABATYVAYUSCHEY I NEFTEKHIMICHESKOY PROMYSHLENNOSTI, LIMITED LIABILITY COMPANY | LIMITED LIABILITY COMPANY DESIGN AND ENGINEERING INSTITUTE FOR OIL REFINING AND PETROCHEMICAL ENTERPRISES","St. Petersburg, Russia",""
"23553","Entity","VAD, AO","UKRAINE-EO13685","AO, VAD | AKTSIONERNOE OBSHCHESTVO VAD | JOINT STOCK COMPANY VAD | JSC VAD | ZAO VAD | CJSC VAD | HIGH-QUALITY HIGHWAYS","Vologda, Russia | St. Petersburg, Russia",""
"23555","Individual","Valeri Vyacheslavovich ABRAMOV","UKRAINE-EO13685","Valerii Vyacheslavovich ABRAMOV","St. Petersburg, Russia | Vologda, Russia | St. Petersburg, Russia","06 Jan 1963"
"23556","Individual","Viktor Pavlovich PEREVALOV","UKRAINE-EO13685 | RUSSIA-EO14024","","St. Petersburg, Russia | Vologda, Russia | St. Petersburg, Russia","27 Jun 1963"
"23558","Individual","Dmitry Vladimirovich OVSYANNIKOV","UKRAINE-EO13660","","Sevastopol, Ukraine","21 Feb 1977"
"23559","Entity","PSKOVNEFTEPRODUKT OOO","UKRAINE-EO13662 | RUSSIA-EO14024","LIMITED LIABILITY COMPANY PSKOVNEFTEPRODUCT | LIMITED LIABILITY COMPANY MARKETING ASSOCIATION PSKOVNEFTEPRODUCT","Pskov, Russia",""
"23560","Individual","Aleksandr Yevgenyevich PENTYA","UKRAINE-EO13661","Alexander PENTYA","St. Petersburg, Russia","07 Sep 1985"
"23562","Entity","NOVGORODNEFTEPRODUCT OOO","UKRAINE-EO13662 | RUSSIA-EO14024","NOVGORODNEFTEPRODUKT LLC | LIMITED LIABILITY COMPANY NOVGORODNEFTEPRODUCT","Veliky Novgorod, Russia",""
"23563","Entity","JSC POWER MACHINES","RUSSIA-EO14024 | UKRAINE-EO13685","SILOVYE MASHINY, PAO | PUBLICHNOE AKTSIONERNOE OBSHCHESTVO SILOVYE MASHINY - ZTL, LMZ, ELEKTROSILA, ENERGOMASHEKSPORT | OPEN JOINT STOCK COMPANY POWER MACHINES - ZTL, LMZ, ELECTROSILA, ENERGOMACHEXPORT | PJSC POWER MACHINES","St. Petersburg, Russia",""
"23564","Entity","EVRO POLIS LTD.","UKRAINE-EO13661","EVRO POLIS, OOO | OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU EVRO POLIS","Krasnogorsk, Russia",""
"23565","Entity","LIMITED LIABILITY COMPANY FOREIGN ECONOMIC ASSOCIATION TECHNOPROMEXPORT","UKRAINE-EO13685","OOO VO TPE | OOO VO TECHNOPROMEXPORT | OBSCHESTVO S OGRANICHENNOI OTVESTVENNOSTYU VNESHNEEKONOMICHESKOE OBEDINENIE TEKHNOPROMEKSPORT","Moscow, Russia",""
"23567","Individual","Sergey Anatolyevich TOPOR-GILKA","UKRAINE-EO13685","","Russia","17 Feb 1970"
"23568","Entity","KINEF OOO","UKRAINE-EO13662 | RUSSIA-EO14024","LLC KINEF | KINEF | LIMITED LIABILITY COMPANY PRODUCTION ASSOCIATION KIRISHINEFTEORGSINTEZ","Kirishi, Russia",""
"23569","Entity","KALININGRADNEFTEPRODUKT OOO","UKRAINE-EO13662 | RUSSIA-EO14024","KALININGRADNEFTEPRODUKT LLC | LLC KALININGRADNEFTEPRODUCT | LIMITED LIABILITY COMPANY KALININGRADNEFTEPRODUCT","Kaliningrad, Russia",""
"23570","Entity","SO TVERNEFTEPRODUKT OOO","UKRAINE-EO13662 | RUSSIA-EO14024","LLC MA TVERNEFTEPRODUCT | LIMITED LIABILITY COMPANY MARKETING ASSOCIATION TVERNEFTEPRODUCT | SBYTOVOE OBYEDINENIE TVERNEFTEPRODUKT","Tver, Russia",""
"23572","Entity","KIRISHIAVTOSERVIS OOO","UKRAINE-EO13662 | RUSSIA-EO14024","LLC KIRISHIAVTOSERVIS | LIMITED LIABILITY COMPANY KIRISHIAVTOSERVIS","St. Petersburg, Russia",""
"23573","Individual","Oleksandr MELNYCHUK","UKRAINE-EO13660","Aleksandr Aleksandrovich MELNICHUK","Ukraine","17 Jan 1965"
"23574","Individual","Vladimir Igorevich PASHKOV","UKRAINE-EO13660","","Russia | Ukraine","1961"
"23575","Entity","ZAO VNESHTORGSERVIS","UKRAINE-EO13660","","Tskhinval, Georgia",""
"23576","Entity","KOMPANIYA GAZ-ALYANS, OOO","UKRAINE-EO13660","OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU KOMPANIYA GAZ-ALYANS | COMPANY GAZ-ALLIANCE LLC","Nizhni Novgorod, Russia",""
"23577","Entity","JOINT STOCK COMPANY SURGUTNEFTEGASBANK","UKRAINE-EO13662 | RUSSIA-EO14024","CLOSED JOINT STOCK COMPANY SURGUTNEFTEGASBANK | ZAO SNGB | JSC BANK SNGB | SNGB AO","Surgut, Russia",""
"23578","Individual","Serhiy MELNYCHUK","UKRAINE-EO13660","Sergiy Oleksandrovich MELNYCHUK | Sergey MELNICHUK","Ukraine","30 Sep 1976"
"23579","Entity","DONCOALTRADE SP Z O O","UKRAINE-EO13660","","Katowice, Poland",""
"23580","Entity","UGOLNYE TEKHNOLOGII, OOO","UKRAINE-EO13660","OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU ""UGOLNYE TEKHNOLOGII"" | COAL TECHNOLOGIES","Rostov-on-Don, Russia",""
"23581","Individual","Vladimir Nikolaevich PAVLENKO","UKRAINE-EO13660","Volodymyr Mykolaiovych PAVLENKO | Vladimir Viktorovich PAVLENKO | Volodymyr Viktorovich PAVLENKO","Donetsk, Ukraine","14 Apr 1962"
"23582","Individual","Aleksandr Yurievich TIMOFEEV","UKRAINE-EO13660","Aleksandr Yuryevich TIMOFEYEV | Oleksandr Yuriyovich TYMOFEEV","Donetsk, Ukraine","15 May 1971"
"23583","Individual","Ekaterina Sergeevna MATYUSHCHENKO","UKRAINE-EO13660","Ekaterina Sergeevna MATIUSHCHENKO | Kateryna MATYUSHCHENKO","Donetsk, Ukraine","01 Feb 1979"
"23584","Individual","Natalya Yurievna NIKONOROVA","UKRAINE-EO13660","","Donetsk, Ukraine","28 Sep 1984"
"23585","Individual","Aleksey Ivanovich GRANOVSKY","UKRAINE-EO13660","","Donetsk, Ukraine","03 Nov 1973"
"23586","Individual","Igor Yurievich ANTIPOV","UKRAINE-EO13660","Ihor ANTIPOV","Donetsk, Ukraine | Donetsk, Ukraine","26 May 1961"
"23587","Individual","Elena Vladimirovna RADOMSKAYA","UKRAINE-EO13660","Olena RADOMSKA | Yelena RADOMSKAYA","Donetsk, Ukraine","15 Nov 1974"
"23603","Individual","Pedro Nel RINCON CASTILLO","SDNTK","Pedro Orejas","Ibague, Colombia","12 Feb 1967"
"23604","Entity","RINCON CASTILLO DRUG TRAFFICKING ORGANIZATION","SDNTK","","Maripi, Colombia",""
"23605","Individual","Horacio de Jesus TRIANA ROMERO","SDNTK","","Maripi, Colombia","21 Nov 1956"
"23606","Individual","Omar Josue RINCON CASTILLO","SDNTK","","Bogota, Colombia","16 Dec 1969"
"23607","Individual","Gilberto RINCON CASTILLO","SDNTK","","Bogota, Colombia","08 Jan 1961"
"23608","Individual","Salvador RINCON CASTILLO","SDNTK","","Maripi, Colombia","25 Aug 1952"
"23609","Individual","Gustavo RINCON CASTILLO","SDNTK","","Bogota, Colombia","03 Dec 1955"
"23610","Individual","Emerio RINCON CASTILLO","SDNTK","","Simijaca, Colombia","04 Apr 1954"
"23612","Individual","Julio Rodolfo SOLANO CHAVES","SDNTK","","Bogota, Colombia","17 Jan 1959"
"23613","Entity","COMERCIALIZADORA INTERNACIONAL AGRICOLA Y GANADERA RINCON CASTILLO LIMITADA","SDNTK","","Chiquinquira, Colombia",""
"23614","Entity","DISTRIBUIDORA Y ELECTRICOS RINCON LTDA.","SDNTK","","Bogota, Colombia",""
"23615","Entity","ESMERALDAS COLOMBIANAS CERRO GUALILO LTDA. C.I.","SDNTK","GUALILO LTDA. C.I.","Bogota, Colombia",""
"23616","Entity","ESMERALDAS NARAPAY LTDA","SDNTK","","Bogota, Colombia",""
"23618","Entity","SOCIEDAD ESMERALDIFERA DE MARIPI LTDA.","SDNTK","SOESMA LTDA.","Bogota, Colombia",""
"23624","Entity","ZULIANA DE ESMERALDAS C.I. S.A.S.","SDNTK","ZULIANA DE ESMERALDAS LTDA. C.I.","Bogota, Colombia",""
"23625","Individual","Faqir MUHAMMAD","SDGT","Faqeer MUHAMMAD | Faqir MOHAMMAD | Faqir Mohammad ZEYAR","Bannu, Pakistan | Lahore, Pakistan","1968"
"23627","Individual","Ismail Abdul Salah HANIYAH","SDGT | NS-PLC","Ismail Abdel Salam Ahmed HANIYEH | Ismail HANIYA | Ismail HANIYAH | Ismail HANIYYAH | Ismael HANIYAH | Ismael HANIYA | Ismayil HANIYEH | Ismail HANIEH","","1962"
"23628","Entity","HASM","SDGT | FTO","HASSM | HASM MOVEMENT | HARAKAH SAWA'ID MISR | HARAKAT SAWA'D MISR | ARMS OF EGYPT MOVEMENT | MOVEMENT OF EGYPT'S ARMS | MOVEMENT OF EGYPT'S FOREARMS | HAMMS | HASSAM | HASAM","Egypt | Egypt | Egypt | Egypt | Egypt | Egypt | Egypt | Turkey | Sudan",""
"23629","Individual","Maulawi INAYATULLAH","SDGT","Maulawi ENAYATULLAH | Mullah FATEHULLAH | Ghowya","Pakistan","1972"
"23630","Entity","LIWA AL-THAWRA","SDGT","LIWA AL-THAWRAH | LIWA' AL-THAWRAH | LIWAA AL-THAWRA | LEWAA AL-THAWRA | LIWA AL THOWRA | THE REVOLUTION BRIGADE | BANNER OF THE REVOLUTION","Egypt | Egypt",""
"23631","Individual","Abdul Samad SANI","SDGT","Samad SANI | Haji Nika | Haji Nika Ishaqzai | Haji Salani | Mullah Samad SANI","Quetta, Pakistan","1960 to 1962"
"23632","Entity","HARAKAT AL-SABIREEN","SDGT","AL-SABIRIN | AL-SABIREEN | A-SABRIN ORGANIZATION | AL-SABIREEN MOVEMENT FOR SUPPORTING PALESTINE | AL-SABIREEN FOR THE VICTORY OF PALESTINE | THE SABIREEN MOVEMENT | HESN | MOVEMENT OF THOSE WHO ENDURE WITH PATIENCE | MOVEMENT OF THE PATIENT ONES","Palestinian | Palestinian | Israel",""
"23633","Individual","Gula Khan HAMIDI","SDGT","Gula Khan HAMEEDI | Gul Muhammad HAMIDI","Afghanistan | Istanbul, Turkey","1976"
"23634","Individual","Abdul Qadeer Basir ABDUL BASEER","SDGT","Abdul QADIR | Abdul Qadir HAQQANI | Abdul Qadir BASIR | Abdul Qadir AHMAT | Nasibullah","Peshawar, Pakistan","1964"
"23635","Individual","Hafiz Mohammed POPALZAI","SDGT","","Chaman, Pakistan","1967 to 1969"
"23643","Individual","Muhindo Akili MUNDOS","DRCONGO","Charles Muhindo Akili MUNDOS","Congo, Democratic Republic of the","10 Nov 1972"
"23644","Individual","Guidon Shimiray MWISSA","DRCONGO","","","13 Mar 1980"
"23645","Individual","Lucien NZABAMWITA","DRCONGO","Lucien NZABANITA | Andre KALUME | Karume ANDRE | Andrew KARUME","","15 Sep 1966"
"23646","Individual","Gedeon Kyungu MUTANGA","DRCONGO","Kyungu Mutanga GEDEON | Gedeon MTANGA | Gideon Kyungu MUTANGA | Gedeon Kyungu MUTANGA WA BAFUNKWA KANONGA","","1972 | 1974"
"23647","Individual","Zhao WEI","TCO","Zhang WEI | Chio WAI | Wai CHIO | Chao WEI | Jiao WEI | Jao HWEI | Thanchai SAECHOU","Hong Kong | Hong Kong","16 Sep 1952"
"23648","Entity","ZHAO WEI TCO","TCO","ZHAO WEI NARCOTICS TRAFFICKING GROUP | KINGS ROMANS CASINO | KINGS ROMANS GROUP","Laos | Thailand | Burma | China",""
"23649","Individual","Guiqin SU","TCO","Gui Qin SU | Su WEI | Zhao SU | SU, Madame","Hong Kong","03 Dec 1959"
"23650","Individual","Abbas EBERAHIM","TCO","BASU","Kooringal, Australia | Laos | Chiang Rai, Thailand","11 Sep 1949"
"23651","Individual","Nat RUNGTAWANKHIRI","TCO","Nat RUNGTAWANKEEREE","Chiang Rai, Thailand","01 Jan 1977"
"23652","Entity","KINGS ROMANS INTERNATIONAL (HK) CO., LIMITED","TCO","KINGS ROMANS CASINO | KINGS ROMANS GROUP | KINGS ROMAN INTERNATIONAL COMPANY, LIMITED | DOK NGIU KHAM KING ROMAN GROUP | DOK NGIEO KHAM COMPANY | DOK NGEW KHAM CASINO CO. LTD. | DOKNGIEWKHAM COMPANY | GOLDEN KAPOK | JIN MU MIAN | JING MU MIANG COMPANY | MYANMAR MACAU LUNDUN | WEI TA LEE COMPANY | KINGS ROMAN RESORT AND CASINO | DOK NGIU KHAM KING ROMAN CASINO | KING ROMANS GROUP COMPANY LTD | DONG NGIEW KHAM GROUP","Hong Kong Island, Hong Kong",""
"23653","Entity","KINGS ROMANS INTERNATIONAL INVESTMENT CO. LIMITED","TCO","KINGS ROMANS GROUP | KINGS ROMANS CASINO | DOK NGIU KHAM KING ROMAN GROUP | DOK NGIEO KHAM COMPANY | DOK NGEW KHAM CASINO CO. LTD. | KING ROMANS GROUP COMPANY LTD | DOKNGIEWKHAM COMPANY | DONG NGIEW KHAM GROUP | GOLDEN KAPOK | JIN MU MIAN | JING MU MIANG COMPANY | MYANMAR MACAU LUNDUN | WEI TA LEE COMPANY | KINGS ROMAN RESORT AND CASINO | DOK NGIU KHAM KING ROMAN CASINO","Hong Kong | Hong Kong",""
"23654","Entity","KING ROMANS COMPANY LIMITED","TCO","","Chiang Saen, Thailand | Chiang Rai, Thailand | Chiang Mai, Thailand",""
"23663","Individual","Jihad Muhammad QANSU","SDGT","Jihad QANSU | Jihad KANSO | Jehad QANSAWH | Jehad KANSU | Jehad KANSO | Jehad QANSO | Jihad Mohamad KANSO | Jihad Mohamad KANSOU | Jihad KANSOU | Jehad Mohamed KANSO","Beirut, Lebanon | Jnah, Baabda, Lebanon | Jnah, Baabda, Lebanon","10 Feb 1966"
"23664","Individual","Ali Muhammad QANSU","SDGT","Ali QANSU | Ali Mohamed KANSO | Ali Mohamed KANSOU","Jnah, Baabda, Lebanon | Jnah, Baabda, Lebanon | Freetown, Sierra Leone | Lebanon","01 Oct 1967"
"23665","Entity","BLUE LAGOON GROUP LTD.","SDGT","BLUE LAGOON ALI KANSO GROUP LTD. | BLUE LAGOON GROUP | BLUE LAGOON ALI KANSO GROUP (S.L.) LIMITED","Freetown, Sierra Leone",""
"23666","Entity","KANSO FISHING AGENCY LIMITED","SDGT","","Freetown, Sierra Leone",""
"23667","Entity","STAR TRADE GHANA LIMITED","SDGT","","Tema, Ghana",""
"23668","Entity","GOLDEN FISH LIBERIA LTD.","SDGT","","Monrovia, Liberia",""
"23669","Entity","GOLDEN FISH S.A.L. (OFFSHORE)","SDGT","","Chath Tayuni, Lebanon",""
"23670","Entity","DOLPHIN TRADING COMPANY LIMITED","SDGT","","Monrovia, Liberia",""
"23671","Entity","SKY TRADE COMPANY","SDGT","","Monrovia, Liberia",""
"23672","Individual","Issam Ahmad SAAD","SDGT","Isam Ahmad SAD | Isam Ahmad SAAD","Lebanon","19 Oct 1964"
"23673","Individual","Nabil Mahmoud ASSAF","SDGT","Nabil ASSAF | Nabil Muhammad ASSAF","Lebanon","11 Sep 1964"
"23674","Individual","Abdul Latif SAAD","SDGT","Abd-al-Latif SAD","Iraq","10 Aug 1958"
"23675","Individual","Muhammad BADR-AL-DIN","SDGT","Mohamed BADREDDINE | Mohammed BADREDDINE","Iraq","12 Oct 1958"
"23683","Individual","Dilawar Khan Nadir KHAN","SDGT","Dilawar KHAN","Peshawar, Pakistan","1982 | 1981"
"23684","Individual","Rahman Zeb Faqir MUHAMMAD","SDGT","Rahman Zayb Faqir MUHAMMAD | KHAN, Rahman Ieb | ZEB, Rahman R | ZAIB, Rehman | ZAIB, Alam | ALAMZEB | AURANGZEB","Lower Dir, Pakistan | Lower Dir District, Pakistan","01 Jan 1970 | 01 Jan 1974"
"23685","Individual","Hizb Ullah Astam KHAN","SDGT","Qari Hizbullah | Hizbullah Qari MOAZZAM | Hizb Ullah | Hizb Allah | Hazab Allah | Hazab Ullah | Hazeb Ullah | Hazib Ullah | Hizbullah | Hizbulah | Hiz Bullah","Peshawar, Pakistan | Peshawar, Pakistan | Afghanistan","01 Mar 1982 | 03 Jan 1982"
"23703","Individual","Abdulpatta Escalon ABUBAKAR","SDGT","Abdulpatta Abubakar ESCALON | Abdul Patta Escalon ABUBAKAR | ABU BAKAR, Abdul Patta","Philippines | Jeddah, Saudi Arabia | Daina, Saudi Arabia","03 Mar 1965 | 01 Jan 1965 | 11 Jan 1965"
"23704","Individual","Yunus Emre SAKARYA","SDGT","AL-HAIEBI, Younes | AL-ALMANI, Yunus","Al Mayadin, Syria | Turkey","22 Apr 1991"
"23705","Entity","CHONMYONG SHIPPING CO","DPRK4","CHON MYONG SHIPPING COMPANY LIMITED","Pyongyang, Korea, North | Pyongyang, Korea, North",""
"23706","Entity","HAPJANGGANG SHIPPING CORP","DPRK4","","Pyongyang, Korea, North",""
"23707","Entity","KOREA ACHIM SHIPPING CO","DPRK4","","Pyongyang, Korea, North",""
"23708","Entity","KOREA ANSAN SHIPPING COMPANY","DPRK4","KOREA ANSAN SHPG CO","Pyongyang, Korea, North",""
"23709","Entity","PROFESYONELLER ELEKTRONIK","SDGT","PROFESYONELLER ELEKTRONIK TIC ITH VE IHR LTD. STI | PROFESSIONALS ELECTRONIC TRADE IMPORT AND EXPORT LIMITED COMPANY | PROFESYONELLER ELEKTRONIK TICARET","Kecioren, Turkey",""
"23710","Entity","KOREA UNPHA SHIPPING & TRADING","DPRK4","KOREA UNPHA SHIPPING AND TRADING","Pyongyang, Korea, North",""
"23711","Entity","KOREA MYONGDOK SHIPPING CO","DPRK4","","Pyongyang, Korea, North",""
"23712","Entity","KOREA SAMJONG SHIPPING CO","DPRK4","","Pyongyang, Korea, North",""
"23713","Entity","KOREA SAMMA SHPG CO","DPRK4","KOREA SAMMA SHIPPING CO","Pyongyang, Korea, North",""
"23714","Entity","KOREA YUJONG SHIPPING CO LTD","DPRK4","","Pyongyang, Korea, North",""
"23715","Entity","PAEKMA SHIPPING CO","DPRK4","","Pyongyang, Korea, North",""
"23717","Entity","PHYONGCHON SHIPPING & MARINE","DPRK4","PHYONGCHON SHIPPING AND MARINE","Pyongyang, Korea, North",""
"23718","Entity","POCHON SHIPPING & MANAGEMENT","DPRK4","POCHON SHIPPING AND MANAGEMENT","Pyongyang, Korea, North",""
"23719","Individual","Mohamed Mire Ali YUSUF","SDGT","Mohamed Mire ALI | Mohamed MIRE | Mohamed Ali MIRE | Muhammad MIRE","Somalia","1975 | 1974 | 1976"
"23720","Entity","SONGWON SHIPPING & MANAGEMENT","DPRK4","SONGWON SHIPPING AND MANAGEMENT","Pyongyang, Korea, North",""
"23721","Entity","AL-MUTAFAQ COMMERCIAL COMPANY","SDGT","","Boosaaso, Somalia",""
"23722","Entity","LIIBAAN GENERAL TRADING CO.","SDGT","LIIBAN TRADING | LIBAN TRADING | LIIBAAN TRADING | AL-LIIBAAN GENERAL TRADING CO.","Bosaso, Somalia",""
"23723","Entity","TONGHUNG SHIPPING & TRADING CO","DPRK4","TONGHUNG SHIPPING AND TRADING CO","Pyongyang, Korea, North",""
"23724","Entity","MYOHYANG SHIPPING CO","DPRK4","","Pyongyang, Korea, North",""
"23725","Entity","FIRST OIL JV CO LTD","DPRK4","","Pyongyang, Korea, North",""
"23726","Vessel","CHON MYONG 1","DPRK4","","",""
"23727","Vessel","NAM SAN 8","DPRK4","","",""
"23728","Vessel","HAP JANG GANG 6","DPRK4","","",""
"23729","Vessel","CHON MA SAN","DPRK4","","",""
"23730","Vessel","AN SAN 1","DPRK4","","",""
"23731","Vessel","KUM GANG 3","DPRK4","","",""
"23732","Vessel","YU PHYONG 5","DPRK4","","",""
"23733","Vessel","SAM JONG 1","DPRK4","","",""
"23734","Vessel","SAM JONG 2","DPRK4","","",""
"23735","Vessel","SAM MA 2","DPRK4","","",""
"23736","Vessel","YU JONG 2","DPRK4","","",""
"23737","Vessel","PAEK MA","DPRK4","","",""
"23738","Vessel","JI SONG 6","DPRK4","","",""
"23739","Vessel","JI SONG 8","DPRK4","","",""
"23740","Vessel","WOORY STAR","DPRK4","","",""
"23741","Vessel","PO CHON","DPRK4","","",""
"23742","Vessel","SONG WON","DPRK4","","",""
"23743","Vessel","TONG HUNG 5","DPRK4","","",""
"23744","Vessel","YU SON","DPRK4","","",""
"23763","Entity","CHANG AN SHIPPING & TECHNOLOGY","DPRK4","CHANG AN SHIPPING AND TECHNOLOGY","Chai Wan, China",""
"23764","Vessel","HUA FU","DPRK4","","",""
"23765","Entity","HONGXIANG MARINE HONG KONG LTD","DPRK4","","Wan Chai, China",""
"23766","Vessel","ORIENTAL TREASURE","DPRK4","","",""
"23769","Entity","SHEN ZHONG INTERNATIONAL SHPG","DPRK4","","Kowloon, China",""
"23770","Vessel","HAO FAN 2","DPRK4","","",""
"23771","Vessel","HAO FAN 6","DPRK4","","",""
"23773","Entity","LIBERTY SHIPPING CO LTD","DPRK4","","Wan Chai, China",""
"23775","Entity","WEIHAI WORLD-SHIPPING FREIGHT","DPRK4","","Weihai, China",""
"23776","Vessel","XIN GUANG HAI","DPRK4","","",""
"23777","Entity","HUAXIN SHIPPING HONGKONG LTD","DPRK4","","Chai Wan, China",""
"23778","Vessel","ASIA BRIDGE 1","DPRK4","","",""
"23779","Entity","SHANGHAI DONGFENG SHPG CO LTD","DPRK4","","Shanghai, China",""
"23780","Vessel","DONG FENG 6","DPRK4","","",""
"23785","Entity","KOTI CORP","DPRK4","","Panama City, Panama",""
"23786","Vessel","KOTI","DPRK4","","",""
"23787","Entity","YUK TUNG ENERGY PTE LTD","DPRK4","","Singapore",""
"23788","Vessel","YUK TUNG","DPRK4","","",""
"23803","Entity","ANSARUL ISLAM","SDGT","ANSAROUR ISLAM | ANSAR AL-ISLAM | DEFENDERS OF ISLAM | ANSAR-UL-ISLAM LIL-ICHAD WAL JIHAD | IRSAD | ANSAR UL ISLAM OF MALAM BOUREIMA DICKO","Douna, Mali | Burkina Faso | Burkina Faso | Mali",""
"23823","Individual","Yung Yuan TSANG","DPRK3","Yun Yuan TSANG | Neil TSANG | Niel TSANG","Taipei, Taiwan","20 Oct 1957"
"23824","Entity","PRO-GAIN GROUP CORPORATION","DPRK3","","Taipei, Taiwan | Apia, Samoa | Taiwan | Samoa",""
"23825","Entity","KINGLY WON INTERNATIONAL CO., LTD.","DPRK3","","Marshall Islands | Majuro, Marshall Islands | Taiwan | Taipei, Taiwan",""
"23843","Entity","ISIS-BANGLADESH","FTO | SDGT","CALIPHATE IN BANGLADESH | CALIPHATE'S SOLDIERS IN BANGLADESH | SOLDIERS OF THE CALIPHATE IN BANGLADESH | KHALIFAH'S SOLDIERS IN BENGAL | ISLAMIC STATE BANGLADESH | ISLAMIC STATE IN BANGLADESH | ISB | ISISB | ABU JANDAL AL-BANGALI | NEO-JMB | NEO-JAMAAT-UL MUJAHIDEEN BANGLADESH | NEW-JMB","Dhaka, Bangladesh | Rangpur, Bangladesh | Sylhet, Bangladesh | Jhenaidah, Bangladesh | Singapore",""
"23844","Entity","ISIS-PHILIPPINES","FTO | SDGT","ISIS IN THE PHILIPPINES | ISIL PHILIPPINES | ISIL IN THE PHILIPPINES | IS PHILIPPINES | ISP | ISLAMIC STATE IN THE PHILIPPINES | ISLAMIC STATE IN IRAQ AND SYRIA IN SOUTH-EAST ASIA | DAWLATUL ISLAMIYAH WALIYATUL MASRIK | DIWM | DAWLATUL ISLAMIYYAH WALIYATUL MASHRIQ | IS EAST ASIA DIVISION | ISIS PHILIPPINE PROVINCE | ISIS BRANCH IN THE PHILIPPINES","Basilan, Philippines | Philippines",""
"23845","Entity","ISIS-WEST AFRICA","FTO | SDGT","ISIS-WA | ISIS WEST AFRICA | ISIS WEST AFRICA PROVINCE | ISLAMIC STATE OF IRAQ AND SYRIA WEST AFRICA PROVINCE | ISLAMIC STATE OF IRAQ AND THE LEVANT-WEST AFRICA | ISIL-WA | ISLAMIC STATE WEST AFRICA PROVINCE | ISISWAP","Nigeria",""
"23846","Individual","Abu Musab AL-BARNAWI","SDGT","YUSUF, Habib","Nigeria","1991 | 1990 | 1992 | 1993 | 1994 | 1995"
"23848","Entity","ISIS-SOMALIA","SDGT","ISLAMIC STATE IN SOMALIA | ISS | ISIS IN EAST AFRICA | ABNAA UL-CALIPHA","Somalia",""
"23849","Entity","MAUTE GROUP","SDGT","IS-RANAO | ISLAMIC STATE OF LANAO","Philippines",""
"23850","Entity","ISIS-EGYPT","SDGT","ISLAMIC STATE IN EGYPT | ISLAMIC STATE EGYPT | IS EGYPT | IS-EGYPT","Egypt",""
"23863","Entity","JUND AL-KHILAFAH IN TUNISIA","SDGT","ISIS-TUNISIA | ISIS-TUNISIA PROVINCE | SOLDIERS OF THE CALIPHATE | JUND AL-KHILAFA | JUND AL KHILAFAH | JUND AL-KHILAFAH FI TUNIS | SOLDIERS OF THE CALIPHATE IN TUNISIA | TALA I JUND AL-KHILAFAH | VANGUARDS OF THE SOLDIERS OF THE CALIPHATE | DAESH TUNISIA | AJNAD","Tunisia",""
"23883","Individual","Pedro Luis MARTIN OLIVARES","SDNTK","","Chacao, Venezuela","18 Apr 1967"
"23884","Individual","Walter Alexander DEL NOGAL MARQUEZ","SDNTK","","Venezuela | Panama, Panama","02 Oct 1969"
"23885","Individual","Mario Antonio RODRIGUEZ ESPINOZA","SDNTK","Mario Antonio RODRIGUEZ EZPINOZA","Venezuela","16 Feb 1966"
"23886","Entity","D2 IMAGINEERING, C.A.","SDNTK","","Caracas, Venezuela",""
"23887","Entity","GRUPO CONTROL 2004, C.A.","SDNTK","","Caracas, Venezuela",""
"23888","Entity","GRUPO CONTROL SYSTEM 2004, C.A.","SDNTK","","Caracas, Venezuela",""
"23889","Entity","INMUEBLES Y DESARROLLOS WEST POINT, C.A.","SDNTK","PLM INMOBILIARIA C.A.","Caracas, Venezuela",""
