UID,Type,Name,Programs,AKAs,Addresses,DOB
"47707","Entity","GUN MAKING COMPANY LEVSHA T LLC","RUSSIA-EO14024","LLC WEAPON FIRM LEVSHA T | OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTIU ORUZHEINAIA FIRMA LEVSHA T","Tula, Russia",""
"47708","Entity","JOINT STOCK COMPANY SPECIAL DESIGN BUREAU OF TRANSPORT MECHANICAL ENGINEERING","RUSSIA-EO14024","AKTSIONERNOE OBSHCHESTVO SPETSIALNOE KONSTRUKTORSKOE BIURO TRANSPORTNOGOMASHINOSTROENIIA | AO SPETSMASH | SPECMASH KB","Saint Petersburg, Russia",""
"47709","Entity","DALIR LTD","RUSSIA-EO14024","OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTIU DALIR | OOO DALIR","Astrakhan, Russia",""
"47710","Entity","LADOGA SHIPPING COMPANY LIMITED LIABILITY COMPANY","RUSSIA-EO14024","OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTIU SUDOKHODNAIA KOMPANIIA LADOGA | OOO SK LADOGA","Astrakhan, Russia | Astrakhan, Russia",""
"47712","Entity","VOSTOCHNAYA STEVEDORING COMPANY LLC","RUSSIA-EO14024","VSC | OOO VSK","Nakhodka, Russia",""
"47713","Entity","LIMITED LIABILITY COMPANY TRIMIX","RUSSIA-EO14024","3MX | OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTIU 3MKH","St. Petersburg, Russia",""
"47714","Vessel","ALIREZA 1","RUSSIA-EO14024","","",""
"47715","Individual","Farid Khabibullovich ABDRAKHMANOV","RUSSIA-EO14024","Faryd Khabybullovych ABDRAKHMANOV","Russia","22 Oct 1954"
"47716","Vessel","BALTIYSKIY-111","RUSSIA-EO14024","","",""
"47717","Entity","FEDERAL STATE ENTERPRISE SCIENCE AND TECHNOLOGY ASSOCIATION KAZAN PLANT OF PRECISION ENGINEERING","RUSSIA-EO14024 | UKRAINE-EO13662","FKP NPO KZTM | NAUCHNO PROIZVODSTVENNOE OBYEDINENIE KAZANSKII ZAVOD TOCHNOGO MASHINOSTROENIYA","Kazan, Russia | Chapaevsk, Russia",""
"47718","Entity","JOINT STOCK COMPANY VOSKRESENSKY AGGREGATION FACTORY","RUSSIA-EO14024","JSC VAF | VOSKRESENSKIY AGGREGATE PLANT","Beloozerskii, Russia",""
"47719","Vessel","SKIF-V","RUSSIA-EO14024","","",""
"47720","Entity","JOINT STOCK COMPANY SPECIAL DESIGN BUREAU OF INSTRUMENT MAKING AND AUTOMATION","RUSSIA-EO14024","OAO SKB PA | OTKRYTOE AKTSIONERNOE OBSHCHESTVO SPETSIALNOE KONSTRUKTORSKOE BIURO PRIBOROSTROENIIA I AVTOMATIKI | OPEN JOINT STOCK COMPANY SPECIAL DESIGN BUREAU OF INSTRUMENT ENGINEERING AND AUTOMATION","Kovrov, Russia",""
"47722","Individual","Aleksandr Viacheslavovich SYCHUGOV","RUSSIA-EO14024","Aleksandr Vyacheslavovich SYCHUGOV","Russia","29 Sep 1962"
"47723","Entity","JOINT STOCK COMPANY ASTEIS","RUSSIA-EO14024","AKTSIONERNOE OBSHCHESTVO ASTEIS | JSC ASTEYS","Naberezhnye Chelny, Russia",""
"47724","Entity","JOINT STOCK COMPANY TECHNOLOGICAL ENTERPRISE PERM PLANT OF METAL WORKING CENTERS","RUSSIA-EO14024","PERM FACTORY METAL CENTERS STP STOCK COMPANY | PZMC | AO STP PZMTS | AKTSIONERNOE OBSHCHESTVO SOVMESTNOE TEKHNOLOGICHESKOE PREDPRIYATIE PERMSKII ZAVOD METALLOOBRABATYVAYUSHCHIKH TSENTROV","Perm, Russia",""
"47725","Entity","JOINT STOCK COMPANY TULA MACHINE BUILDING PLANT","RUSSIA-EO14024","JOINT STOCK COMPANY TULAMASHZAVOD | AO TULSKIY MASHINOSTROITELNIY ZAVOD | AKTSIONERNOE OBSHCHESTVO AKTSIONERNAIA KOMPANIIA TULAMASHZAVOD | TULAMASHZAVOD PRODUCTION ASSOCIATION","Tula, Russia",""
"47726","Individual","Valerii COPEICHIN","RUSSIA-EO14024","Valari COPCIN","Kampala, Uganda","05 Jul 1961"
"47727","Individual","Evgenii Anatolevich DRONOV","RUSSIA-EO14024","","Russia","20 Oct 1947"
"47728","Entity","OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTIU VOENNO OKHRANNAIA KOMPANIIA KONVOI","RUSSIA-EO14024","PRIVATE MILITARY COMPANY CONVOY | PMC CONVOY | OOO VOK KONVOI","St. Petersburg, Russia",""
"47729","Individual","Nikolay Vladimirovich PORKHACHEV","RUSSIA-EO14024","Nikolai Vladimirovich PORKHACHEV","Russia","27 Sep 1979"
"47730","Entity","RHEINGOLD EDELMETALL AG","RUSSIA-EO14024","","Triesen, Liechtenstein",""
"47731","Individual","Fritz DIEGELMANN","RUSSIA-EO14024","","Liechtenstein","28 May 1993"
"47732","Individual","Axel Paul DIEGELMANN","RUSSIA-EO14024","","Liechtenstein","24 Feb 1965"
"47733","Individual","Bernd Guenter DIEGELMANN","RUSSIA-EO14024","","United Arab Emirates","12 Sep 1990"
"47734","Entity","RHEINGOLD EDELMETALL GMBH","RUSSIA-EO14024","","Weissensberg, Germany",""
"47735","Entity","LIEMETA AG","RUSSIA-EO14024","","Triesen, Liechtenstein",""
"47736","Entity","PUBLIC JOINT STOCK COMPANY IMPERIAL TULA ARMS PLANT","RUSSIA-EO14024","PUBLIC JOINT STOCK COMPANY IMPERATORSKY TULSKY ORUZHEINY ZAVOD | PUBLICHNOE AKTSIONERNOE OBSCHESTVO IMPERATORSKIY TULSKIY ORUZHEINIY ZAVOD","Tula, Russia",""
"47737","Entity","JOINT STOCK COMPANY SCIENTIFIC AND PRODUCTION ASSOCIATION PRIBOR NAMED AFTER S S GOLEMBIOVSKY","RUSSIA-EO14024","AKTSIONERNOE OBSHCHESTVO NAUCHNO PROIZVODSTVENNOE OBYEDINENIE PRIBOR IMENI S S GOLEMBIOVSKOGO | AO NPO PRIBOR IMENI S S GOLEMBIOVSKOGO","Moscow, Russia | Chelyabinsk, Russia | Noginsk, Russia | Saint Petersburg, Russia",""
"47739","Individual","Konstantin Alexandrovich PIKALOV","RUSSIA-EO14024","Konstantin Aleksandrovich PIKALOV | Konstantin MAZAEV | MAZAI | MAZAY","Russia","23 Jul 1968"
"47740","Entity","JOINT STOCK COMPANY KOVROV ELECTROMECHANICAL PLANT","RUSSIA-EO14024","AO KEMZ | AKTSIONERNOE OBSHCHESTVO KOVROVSKII ELEKTROMEKHANICHESKII ZAVOD","Kovrov, Russia",""
"47742","Individual","Yuri Alexandrovich NABOKOV","RUSSIA-EO14024","Yury NABOKOV | Iurii Aleksandrovich NABOKOV","Russia","01 Jan 1981"
"47743","Entity","AKTSIONERNOE OBSHCHESTVO KONSALT","RUSSIA-EO14024","JOINT STOCK COMPANY PMC WAGNER CENTER | AKTSIONERNOE OBSHCHESTVO CHVK VAGNER TSENTR","St. Petersburg, Russia",""
"47744","Individual","Alexey Vasilyevich TENSIN","RUSSIA-EO14024","Aleksei TENSIN","Russia","28 Nov 1971"
